지하철역,호선,유임승차인원,무임승차인원,유임하차인원,무임하차인원
경복궁(정부서울청사),3호선,590107.3373,87405.43373,605296.9639,83538.50602
경찰병원,3호선,175342.086,38368.87097,173665.1935,39146.46237
고속터미널,3호선,1431433.172,173028.086,1395549.344,165871.5269
교대,3호선,356477,63300.2,267862.8,44187.3
교대(법원.검찰청),3호선,338650.6747,65394.93976,227056.6506,40516.33735
구파발,3호선,489650.3548,102518.7849,451505.6667,96669.98925
금호,3호선,189113.2688,52325.70968,171665.2366,51459.32258
남부터미널,3호선,958255.1,127204.5,989346.7,127930.6
남부터미널(예술의전당),3호선,819562,117121.6867,843077.4217,117808.506
녹번,3호선,332656.8065,67028.05376,284747.871,65794.90323
대청,3호선,235483.7742,51870.69892,209146.4409,49580.25806
대치,3호선,286976.9247,58548.01075,275989.1398,56161.08602
도곡,3호선,144851.2366,25866.11828,145549.3011,22948.53763
독립문,3호선,159627.3226,69591.35484,167027.3441,69547.36559
동대입구,3호선,267845.5376,35799.43011,299912.1505,38578.02151
매봉,3호선,270749.2581,54831.8172,261535.828,50287.06452
무악재,3호선,86667.96774,29447.97849,86415.91398,31681.21505
불광,3호선,392978.4409,139126,427890.9247,153277.3118
수서,3호선,387882.2151,94530.72043,389094.2796,92562.24731
신사,3호선,830009.9785,69825.41935,898717.6774,67364.80645
안국,3호선,583573.1505,100129.0108,617625.2473,106582.4409
압구정,3호선,814592.3011,134893.3871,891776.1828,133166.3871
약수,3호선,318584.4516,80416.72043,308559.086,77451.34409
양재,3호선,1068561.8,152295.1,1149381.8,153389.1
양재(서초구청),3호선,958688.4699,150238.0361,1041055.265,151528.7831
연신내,3호선,927523.7419,253020.9355,869048.4194,245059.6882
오금,3호선,163007,26743.6129,144896.1183,25208.51613
옥수,3호선,224433.9032,56261.76344,234140.9462,56738.17204
을지로3가,3호선,231429.2903,54030.83871,252139.8602,52940.83871
일원,3호선,211365.9677,57288.01075,213186.5161,58121.35484
잠원,3호선,135456.7957,33085.56989,130487.3441,32136.16129
종로3가,3호선,218847.828,57112.8172,290228.6882,64380.98925
지축,3호선,45581.01075,13155.5914,45072.41935,14665.53763
충무로,3호선,42.78494624,3.268817204,0,0
학여울,3호선,60828.5914,14882.47312,62957.8172,14677.25806
홍제,3호선,411179.2688,139306.2258,383651.7204,138018.172
길음,4호선,560393.7527,120483.2366,533064.4839,121131.8602
남태령,4호선,46724.46237,8651.569892,24424.3871,7488.924731
노원,4호선,537144.7742,87326.25806,615757,85793.08602
당고개,4호선,287064.5269,88374.62366,262346.957,87613.35484
동대문,4호선,529571.957,147067.8495,544782.871,138317.9785
동대문역사문화공원,4호선,628975.0469,63945.79688,571317.9688,57996.01563
동대문역사문화공원(DDP),4호선,326357.7931,46306.75862,302901,41657.2069
동작,4호선,61846,20474.9,67193.6,20626.6
동작(현충원),4호선,52280.28916,21219.85542,56744.3012,21339.61446
명동,4호선,892444.7634,65590.91398,963941.1613,67632.78495
미아,4호선,458584.1,130085.3,407189.8,129111
미아(서울사이버대학),4호선,370522.759,113116.4578,341317.5301,112967.5904
미아사거리,4호선,699420.5591,175711.6237,671824.8172,174799.871
사당,4호선,730205.1398,87635.11828,614772.1183,88909.25806
삼각지,4호선,113687.2796,26451.41935,138752.6882,28411.02151
상계,4호선,486355.3118,112337.6344,431723.3871,110358.7634
서울역,4호선,309914.4624,37745.91398,541127.9355,47720.09677
성신여대입구,4호선,715316.3,102806.8,655293.3,98467.4
성신여대입구(돈암),4호선,587878.6265,87854.98795,555467.3855,86583.56627
수유(강북구청),4호선,923122.5054,206559.0108,903790.4839,206207.2151
숙대입구,4호선,470589.9,58659.8,463987.7,55937
숙대입구(갈월),4호선,389024.8795,52891.07229,381673.8434,49670.59036
신용산,4호선,381908.5269,48173.90323,403620.3548,48379.1828
쌍문,4호선,768502.2688,157967.4946,670252.0753,153887.086
이촌,4호선,235983.5,43930,268721.6,47590.8
이촌(국립중앙박물관),4호선,209006.4819,44200.27711,234210.4096,47240.98795
창동,4호선,635851.5376,183553.7419,680829.2151,190863.3441
총신대입구,4호선,537191.7,137175.6,605683.8,145915.5
총신대입구(이수),4호선,455076.9759,140295.5904,509135.4217,147863.8193
충무로,4호선,738755.1935,118831.1398,761229.1183,120064.9462
한성대입구,4호선,431279.6,79085.3,408624.5,77943.3
한성대입구(삼선교),4호선,374766.7108,72560.26506,358729.3614,71777.84337
혜화,4호선,1002050.376,125059.8602,1040484.344,124608.3978
회현,4호선,694089.9,197342.6,748287.2,197323
회현(남대문시장),4호선,612174.4819,187358.7229,658101.6747,186985.4337
강동,5호선,466089.6774,95870.19355,408015,88296.43011
강일,5호선,68879.11765,24429.05882,66863.11765,24118.70588
개롱,5호선,150834.1075,42721.01075,152862.0538,43781.97849
개화산,5호선,131410.8817,34278.65591,123447.5699,33292.29032
거여,5호선,167472.5591,51443.77419,156007.8925,50004.69892
고덕,5호선,207656.0108,59010.90323,203075.7742,57930.80645
공덕,5호선,339793.9892,42942.62366,365714.3548,40249.2043
광나루,5호선,373297.8,63120.4,331570.2,60640.6
광나루(장신대),5호선,337311.9036,64489.39759,302930.7108,61915.31325
광화문,5호선,986716.6,80822.5,1037606.5,79170.2
광화문(세종문화회관),5호선,870671.3133,82183.36145,914665.8434,79630.44578
군자,5호선,291907.6,35453.3,325565.9,39814.2
군자(능동),5호선,279175.0241,37553.6506,318180.241,40968.75904
굽은다리,5호선,240021,61124.5,227328.5,56099.8
굽은다리(강동구민회관앞),5호선,215695.2169,62575.79518,204543.9518,57959.39759
길동,5호선,159636.6774,60292.76344,166596.5699,62175.27957
김포공항,5호선,198462.3871,29140.94624,175283.3978,29765.25806
까치산,5호선,711071.5484,147181.914,666602.9032,148408.7849
답십리,5호선,384152.043,78195.69892,345574.3011,76075.12903
동대문역사문화공원,5호선,76324.4375,9575.21875,92648.25,10565.57813
동대문역사문화공원(DDP),5호선,57729.58621,7065.034483,67888.93103,7828.482759
둔촌동,5호선,224547.2688,62886.82796,223066.6452,64577.10753
마곡,5호선,172813.4624,26948.6129,159022.172,25801.26882
마장,5호선,134375.172,40025.88172,127415.4946,39134.11828
마천,5호선,113841.4194,47609.09677,111558.5484,49991.52688
마포,5호선,337756.4839,59985.31183,348651.5054,59488.05376
